numdevo|item|descrip|cantidad|factura|importe|precio
DV000132|25611-02502|TOMA AGUA CORTA PICANTO SIN SENSOR|6.0000||0.0000|7.7300
DV000133|41600-4H100|BOMBA CLUTCH SUP HYUNDAI H1 2009|1.0000||0.0000|26.5900
DV000134|25631-23501|CARCAZA TERMOST. TUCSON SUP. CORTA|1.0000||0.0000|6.1800
DV000135|24350-23800-K|ENGRANAJE CVVT TUCSON|1.0000||0.0000|91.0700
DV000136|23124-3C100|DAMPER HYUNDAI SONATA 3.3|2.0000||0.0000|56.9600
DV000137|41610-1C000-SEO|BOMBA CLUTCH SUP. HYUNDAI GETZ SEON|2.0000||0.0000|22.7400
DV000138|KIK-017-KP|KIT EMBRAGUE KIA RIO 1.5 KP|1.0000||0.0000|80.3800
DV000139|MEKIH109-SEONG|MEDIO KIT CADENA H1 09/TUC/CARE (2|1.0000||0.0000|38.3900
DV000140|41610-2E005-SEO|BOMBA CLUTCH SUP. TUCSON SEONG|1.0000||0.0000|16.4700
DV000141|24350-3C100-SE|ENGRANAJE CVVT SONATA 3.3/SOREN/SED|2.0000||0.0000|88.0700
DV000142|24350-3C100-SE|ENGRANAJE CVVT SONATA 3.3/SOREN/SED|2.0000||0.0000|88.0700
DV000143|546102D100|BASE AMORT. DEL ELANTRA XD|1.0000||0.0000|14.9000
DV000144|0K72B-13850E|FILTRO GASOIL KIA PREGIO C/TRAMPA B|1.0000||0.0000|28.5800
DV000145|24255-23800-SE|VALVULA OCV TUCSON|2.0000||0.0000|24.0300
DV000146|39310-02200-OEM|SENSOR POSICION CIGUENAL PICANTO|1.0000||0.0000|14.9000
DV000147|51712-1C050|DISCO FRENO DELT. GETZ 1.3|2.0000||0.0000|36.2500
DV000148|0K72B-13850E-SE|FILTRO GASOIL PREGIO C/TRAMPA BOMBI|1.0000||0.0000|19.2500
DV000149|51716-FD000|PUNTA EJE RH RIO STYLUS|1.0000||0.0000|58.0700
DV000151|25100-37201-SEO|BOMBA AGUA KIA SPORTAGE 2.7/ SANTA|1.0000||0.0000|36.0500
DV000152|94460-1C000|FLOTANTE GASOLINA GETZ|1.0000||0.0000|12.2300
DV000153|94460-1C000|FLOTANTE GASOLINA GETZ|2.0000||0.0000|14.3900
DV000154|39230-26600-K|VALVULA TEMPERATURA GETZ (CABLE)|1.0000||0.0000|13.9900
DV000155|24350-23800-SEO|ENGRANAJE CVVT TUCSON|1.0000||0.0000|60.6700
DV000150|TK-HY003|KIT CADENA SONATA 3.3/ SOREN/SEDO/V|2.0000||0.0000|175.9000
DV000156|27501-23B70-SE|JGO. CABLE BUJIA HYUNDAI TUCSON SEO|1.0000||0.0000|11.2500
DV000157|97730-FD100-PMC|ELECTROVENTILADOR AUX. RIO PMC|2.0000||0.0000|51.7900
DV000158|22231-37100|JGO. TAQUETES GETZ 1.6|1.0000||0.0000|81.8400
DV000159|57700-FD201|CAJETIN HIDRAULICO KIA RIO STYLUS|1.0000||0.0000|263.3600
DV000160|21443-33005|ESTOPERA TRASERA CIGUENAL TUCSON|5.0000||0.0000|4.8500
DV000161|KITTUCSTD|KIT PISTON Y ANILLO TUCSON STD|1.0000||0.0000|62.5000
DV000161|41700-4A101-SE|BOMBIN CLUTCH INF H1 2007 CORREA|1.0000||0.0000|15.6100
DV000161|39180-23910-SE|SENSOR POSICION CIGUENAL TUCSON|1.0000||0.0000|12.6100
DV000162|20910-2EU07|JGO. EMPACADURA TUCSON 15-18|2.0000||0.0000|93.7700
DV000163|39350-37110|SENSOR ARBOL LEVA SPORTAGE 2.7|1.0000||0.0000|13.9600
DV000164|0K2A1-17400|SENSOR DE DISTANCIA KIA RIO 1.5|1.0000||0.0000|13.2300
DV000165|51720-2D100|RODAMIENTO DELANTERO ELANTRA XD|4.0000||0.0000|16.7200
DV000166|0K77P-15200B-SE|RADIADOR KIA PREGIO 3.0 SEONG|1.0000||0.0000|116.4300
