CODMOVCLI|NUMDOC|TIPO|CODVEN|EMISION|VENCE|IMPORTE|REFER|CONCEPTO
00000549|D0010298|AB|25|16/1/2024|11/1/2024|-834,44||CANC.MULT.REC.COB No.
00000549|D0010299|AB|25|16/1/2024|11/1/2024|-579,32||CANC.MULT.REC.COB No.
00000549|D0010300|AB|25|16/1/2024|11/1/2024|-289,26||CANC.MULT.REC.COB No.
00000549|D0010302|AB|25|16/1/2024|11/1/2024|-647,85||CANC.MULT.REC.COB No.
00000549|D0010303|AB|25|16/1/2024|11/1/2024|-273,74||CANC.MULT.REC.COB No.
00000549|D0010307|AB|25|16/1/2024|12/1/2024|-832,91||CANC.MULT.REC.COB No.
00000549|D0010311|AB|25|16/1/2024|12/1/2024|-474,41||CANC.MULT.REC.COB No.
00000549|D0010312|AB|25|16/1/2024|12/1/2024|-68,07||CANC.MULT.REC.COB No.
00000730|D0010315|NC||16/1/2024|16/1/2024|-344,40|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000730|D0010315|CA|25|16/1/2024|7/2/2024|-1377,62||FACTURA D0010315
00000229|D0010239|AB|04|16/1/2024|5/1/2024|-194,10||CANC.MULT.REC.COB No.
00000229|D0010240|AB|04|16/1/2024|5/1/2024|-5,90||CANC.MULT.REC.COB No.
00000666|D0010234|CA|02|16/1/2024|8/2/2024|-200,00||FACTURA D0010234
00000413|D0010405|CA|02|16/1/2024|10/2/2024|-6,58||FACTURA D0010405
00000709|D0009446|CA|01|16/1/2024|14/10/2023|-70,00||FACTURA D0009446
00000703|D0010322|NC||16/1/2024|16/1/2024|-113,48|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000703|D0010322|CA|02|16/1/2024|7/2/2024|-450,00||FACTURA D0010322
00000554|D0010243|CA|02|16/1/2024|6/1/2024|-23,81||FACTURA D0010243
00000345|D0010090|CA|02|16/1/2024|21/12/2023|-200,00||FACTURA D0010090
00000698|D0010385|NC||16/1/2024|16/1/2024|-69,90|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000698|D0010385|CA|21|16/1/2024|9/2/2024|-279,60||FACTURA D0010385
00000561|D0010398|NC||16/1/2024|16/1/2024|-207,42|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000561|D0010399|NC||16/1/2024|16/1/2024|-147,22|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000561|D0010398|CA|19|16/1/2024|10/2/2024|-829,66||CANC.MULT.REC.COB No.
00000561|D0010399|CA|19|16/1/2024|10/2/2024|-588,86||CANC.MULT.REC.COB No.
00000549|D0010312|CA|25|16/1/2024|12/1/2024|-104,71||FACTURA D0010312
00000081|D0010335|NC||16/1/2024|16/1/2024|-121,75|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000081|D0010335|CA|30|16/1/2024|8/2/2024|-487,01||FACTURA D0010335
00000470|D0010432|FC|02|16/1/2024|15/2/2024|722,63||FACTURA D0010432
00000088|D0010433|FC|01|16/1/2024|15/2/2024|152,68||FACTURA D0010433
00000421|D0010344|NC||17/1/2024|17/1/2024|-256,26|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000421|D0010345|NC||17/1/2024|17/1/2024|-88,11|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000421|D0010344|CA|21|17/1/2024|8/2/2024|-1025,02||CANC.MULT.REC.COB No.
00000421|D0010345|CA|21|17/1/2024|8/2/2024|-352,42||CANC.MULT.REC.COB No.
00000421|D0010219|CA|21|17/1/2024|5/1/2024|-0,01||CANC.MULT.REC.COB No.
00000229|D0010434|FC|04|17/1/2024|16/2/2024|573,33||FACTURA D0010434
00000229|D0010435|FC|04|17/1/2024|16/2/2024|516,30||FACTURA D0010435
00000016|D0010279|NC|02|17/1/2024|17/1/2024|-48,83||DEVOLUCION No. NC000562
00000700|D0009853|CA|34|17/1/2024|25/11/2023|-8,09||FACTURA D0009853
00000088|D0009828|CA|01|17/1/2024|23/11/2023|-58,00||FACTURA D0009828
00000082|D0010425|NC||17/1/2024|17/1/2024|-112,19|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000082|D0010425|CA|02|17/1/2024|15/2/2024|-348,78||FACTURA D0010425
00000415|D0009684|CA|19|17/1/2024|12/11/2023|-98,93||CANC.MULT.REC.COB No.
00000415|D0009802|CA|19|17/1/2024|22/11/2023|-393,03||CANC.MULT.REC.COB No.
00000415|D0009723|CA|19|17/1/2024|15/11/2023|-83,75||CANC.MULT.REC.COB No.
00000727|D0010437|FC|35|17/1/2024|16/2/2024|674,53||FACTURA D0010437
00000607|D0010231|CA|19|17/1/2024|8/2/2024|-420,63||FACTURA D0010231
00000742|D0010438|FC|05|17/1/2024|17/3/2024|1036,71||FACTURA D0010438
00000742|D0010439|FC|05|17/1/2024|17/3/2024|810,67||FACTURA D0010439
00000742|D0010440|FC|05|17/1/2024|17/3/2024|627,55||FACTURA D0010440
00000742|D0010441|FC|05|17/1/2024|17/3/2024|993,00||FACTURA D0010441
00000742|D0010445|FC|05|17/1/2024|17/3/2024|589,36||FACTURA D0010445
00000742|D0010447|FC|05|17/1/2024|17/3/2024|819,89||FACTURA D0010447
00000742|D0010448|FC|05|17/1/2024|17/3/2024|337,20||FACTURA D0010448
00000713|D0010450|FC|30|17/1/2024|16/2/2024|545,15||FACTURA D0010450
00000081|D0010436|FC|30|17/1/2024|16/2/2024|587,14||FACTURA D0010436
00000060|D0010428|NC|01|17/1/2024|17/1/2024|-215,06||DEVOLUCION No. NC000563
